kernel,c,gamma,train_acc,train_prec,train_recall,train_f1,test_acc,test_prec,test_recall,test_f1,ext_acc,ext_prec,ext_recall,ext_f1
rbf,0.001,1e-06,0.6701570680628273,0.6470588235294118,0.7486910994764397,0.6941747572815534,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.001,1e-05,0.6701570680628273,0.6470588235294118,0.7486910994764397,0.6941747572815534,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.001,0.0001,0.6701570680628273,0.6470588235294118,0.7486910994764397,0.6941747572815534,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.001,0.001,0.6727748691099477,0.65,0.7486910994764397,0.6958637469586375,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.001,0.01,0.6701570680628273,0.6457399103139013,0.7539267015706806,0.6956521739130435,0.6052631578947368,0.3125,0.9523809523809523,0.47058823529411764,0.7017543859649122,0.30952380952380953,0.7222222222222222,0.43333333333333335
rbf,0.001,0.1,0.6884816753926701,0.6714285714285714,0.7382198952879581,0.7032418952618454,0.7280701754385965,0.3958333333333333,0.9047619047619048,0.5507246376811594,0.7543859649122807,0.35294117647058826,0.6666666666666666,0.46153846153846156
rbf,0.001,1.0,0.6544502617801047,0.7006802721088435,0.5392670157068062,0.6094674556213018,0.8596491228070176,0.6086956521739131,0.6666666666666666,0.6363636363636364,0.8157894736842105,0.4117647058823529,0.3888888888888889,0.4
rbf,0.001,10.0,0.5235602094240838,0.550561797752809,0.25654450261780104,0.35,0.8245614035087719,1.0,0.047619047619047616,0.09090909090909091,0.8508771929824561,1.0,0.05555555555555555,0.10526315789473684
rbf,0.01,1e-06,0.6701570680628273,0.6470588235294118,0.7486910994764397,0.6941747572815534,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.01,1e-05,0.6701570680628273,0.6470588235294118,0.7486910994764397,0.6941747572815534,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.01,0.0001,0.6701570680628273,0.6470588235294118,0.7486910994764397,0.6941747572815534,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
rbf,0.01,0.001,0.6727748691099477,0.65,0.7486910994764397,0.6958637469586375,0.6403508771929824,0.3333333333333333,0.9523809523809523,0.49382716049382713,0.7105263157894737,0.2972972972972973,0.6111111111111112,0.4
