Feature,Average SHAP Value
Active Transportation,0.0028518909132615147
Rate of Active Population,0.0013837035864643383
Visible Minority Rate,0.005396678254569598
Work Stress Score,0.0010893169113599347
Mental Health Score,0.0032820416222394968
Log Median Age,0.007413381966184855
Overweight,0.002133617990891898
Obese,0.004062962708894007
