Feature,Average SHAP Value
Active Transportation,0.001022346265642032
Rate of Daily Smokers,0.0009352652283295727
Visible Minority Rate,0.0008190563355114275
Work Stress Score,0.0009703999328056395
Mental Health Score,0.0012567840244046946
Log Median Age,0.0023224639516199594
Overweight,0.0007733565630636183
Obese,0.003274799263457033
