Feature,Average SHAP Value
Active Transportation,0.00026379511705690035
Rate of Active Population,0.00013806928288823199
Rate of Daily Smokers,4.906713836314395e-05
Work Stress Score,0.0002681953951449276
Mental Health Score,0.0009478199413427195
Log Median Age,0.0009645956655437322
Overweight,0.00031983408602791625
Obese,0.00023873351947551675
