spatial_id,Mental Health Score,Mental Health Binary,Unemployment Rate,High Education Rate,Average Income,Median Age,Recent Immigrant Rate,Rented Rate,Visible Minority Rate,Visible Minority Binary,Work Stress Score,Work Stress binary,Rate of Regular alcohol,Active transportation,Rate of Active population,Rate of Daily Smokers,Total Population,Food Insecurity score,Food Insecurity binary,Diabetes Type 2 rate,Diabetes,Overweight,Obese,Residential Instability,Material Deprivation,Ethnic Concentration,Residential Instability quintiles,Material Deprivation quintiles,Ethnic Concentration quintiles
5350010.01,3.973470369,0,5.3,64.3676,165296.2111,35.7,4.35,43.6839,32.4584,1,3.034497024,1,73.8038,61.0162,60.2342,8.664,5943,1.064962168,0,2.6782,0,37.7763,17.7776,2.094632241,-1.366241433,0.045209069,5,1,3
5350010.02,3.942207249,0,5.2,65.2794,168753.8837,37.2,5.5974,46.9593,31.5789,1,3.047029767,1,72.017,59.6386,58.8709,9.0208,8702,1.073721215,0,4.1088,0,38.6954,17.4922,2.166189367,-1.16725281,0.177834376,5,1,3
5350011,4.055309442,0,4.8,80.476,149569.7499,32.4,14.321,58.7168,38.9522,1,3.060685266,1,77.3592,59.6461,60.7063,8.6002,28078,1.086967322,0,1.8212,0,38.7475,14.3348,0.08907,0.0357,0.8508,3,4,4
5350012.01,4.059635795,0,7.4,70.8194,112876.53,31.5,10.7012,68.0343,55.8035,1,3.058013323,1,77.6812,57.9253,60.6661,8.208,13983,1.09096338,0,2.3351,0,37.5177,15.5788,2.853002747,-1.174293129,1.953967052,5,1,5
5350012.03,4.066138912,0,5.7,78.7903,134599.2243,32.1,11.4336,62.5932,57.1494,1,3.092126561,1,79.3103,58.314,61.8177,8.6251,10854,1.092995321,0,1.2016,0,37.6949,14.5515,2.815386205,-1.783565428,1.900161623,5,1,5
5350012.04,4.07964669,0,5,75.5049,148517.1531,35.9,12.6931,51.9199,45.426,1,3.059168538,1,78.8413,59.0671,61.3342,8.8394,6045,1.077682591,0,0.9108,0,40.2958,12.8611,2.818691769,-1.491986667,1.515356796,5,1,5
5350013.01,3.97746102,0,5.3,77.1153,145554.2354,34.7,11.0486,64.827,48.3316,1,3.048798346,1,73.3062,57.0316,59.1502,9.7066,7852,1.097069556,0,3.3142,0,39.7536,15.0932,2.825783542,-1.319694845,1.172462451,5,1,4
5350013.02,3.921349955,0,5,77.1491,178134.7146,36.6,16.512,50.9602,52.5226,1,2.925480704,1,73.6466,52.9334,54.8079,8.3142,10862,1.067448684,0,3.6271,0,39.4208,14.9377,2.660013573,-1.605065786,1.567302409,5,1,5
5350014,4.032379402,0,4.4,74.8428,272781.6821,37.8,20.8003,51.7267,48.3051,1,3.077201771,1,77.7985,58.5816,62.1431,8.2661,2478,1.081866009,0,1.955,0,36.6328,17.963,2.982639237,-1.393090234,1.288673137,5,1,5
5350015,4.037054407,0,6.5,73.4819,177516.161,39.6,13.0452,45.41,35.5573,1,3.006927336,1,75.3244,56.9546,58.5405,9.1502,5096,1.06981312,0,3.2675,0,40.9462,14.343,2.597744636,-1.310806888,0.716628773,5,1,4
5350016,4.012660933,0,4.7,71.1405,150557.3244,35.8,9.1577,51.3709,38.387,1,3.009479505,1,73.8561,58.1944,58.9115,8.8076,12486,1.084667998,0,2.0636,0,42.2796,14.3155,2.581922423,-1.40970851,0.597469224,5,1,4
5350017,3.679474595,1,7.1,58.7414,113440.2243,40,12.3084,58.8502,41.4485,1,2.983702079,1,59.8297,56.8102,52.8181,12.7031,10618,1.17680233,1,7.2719,0,38.7697,20.4539,0.08907,0.0357,0.8508,3,4,4
5350018,3.948624147,0,10.4,60.6363,157415.5183,38.3,10.2941,39.0929,27.3908,1,3.01818293,1,71.053,61.8801,59.3862,8.6929,3618,1.063437301,0,4.8656,0,36.759,17.959,2.000214089,-1.381404077,0.065079575,5,1,3
5350019,3.599990489,1,7,40.9441,111643.6265,41.5,3.4851,52.1368,43.161,1,2.975207542,1,60.1838,60.2991,55.7457,14.0066,3385,1.177729622,1,10.0167,0,29.8588,22.5498,0.868417504,0.582081541,0.055071676,4,4,3
5350020,3.93910635,0,2.2,70.3297,289303.6559,47.2,2.813,15.2174,23.0983,0,2.934991152,1,65.377,53.0402,55.3584,5.8207,2524,1.012514222,0,7.8633,0,34.7998,15.5061,0.192180708,-1.162586149,-0.182562728,4,1,2
5350021,3.855775968,0,8.8,58.9525,169933.734,44.5,2.4602,57.5448,16.2597,0,3.027674855,1,67.8428,59.1271,57.8103,8.3292,5406,1.039142657,0,9.5269,0,31.9068,23.0164,1.335896996,-0.48045625,-0.531160622,5,2,1
5350022,3.891777235,0,4.5,65.6472,239233.4938,41,1.1991,24.6914,11.8745,0,3.090062733,1,64.4703,61.0675,60.6572,8.7647,4017,1.026925898,0,9.0052,0,27.1905,20.1354,-0.091895318,-0.858111621,-0.434249186,3,1,2
5350023,3.819045897,0,8.8,69.7674,257535.8675,44.5,4.3154,23.8796,11.5406,0,3.039345181,1,64.3044,57.2306,58.2438,7.3622,3622,1.031147156,0,11.1491,1,32.6907,20.3331,0.160001141,-0.995382377,-0.546593255,3,1,1
5350024,3.885072631,0,5.9,60.5473,179861.7628,40.5,3.0093,41.3934,17.1621,0,3.079123469,1,68.9682,60.4093,58.9439,9.5314,7435,1.053269997,0,9.2559,0,30.0205,22.5679,0.587315429,-0.813373077,-0.3933532,4,1,2
5350025,3.758639689,0,9.8,50.7299,133372.399,41.8,3.3651,46.5909,22.0215,0,3.040060309,1,63.3457,59.2809,57.6898,9.1117,3819,1.075361322,0,11.0725,1,31.5141,23.972,0.707712872,-0.212376982,-0.283148251,4,3,2
5350026,3.739475921,0,7.6,49.3779,119972.2618,39.1,4.4404,40.0614,39.5126,1,3.002782552,1,63.3208,59.9886,57.6545,8.8956,7099,1.096062415,0,8.6693,0,29.5906,22.3443,0.460854795,0.004114444,-0.179405662,4,3,2
5350027,3.685040747,1,6.9,47.1077,125516.548,39.7,3.0317,37.5847,44.6468,1,2.987134117,1,62.2081,59.3618,56.7995,11.1414,4558,1.111603302,0,8.9715,0,29.8437,23.0553,0.453538899,0.162589429,0.022881299,4,4,3
