Spatial ID,Diabetes Type 2 rate,Diabetes,Mental Health Score,Mental Health Binary,High Education Rate,Rate of Regular alcohol,Rate of Daily Smokers,Food Insecurity score,Food Insecurity binary,Unemployment Rate,Median Age,Recent Immigrant Rate,Work Stress Score,Work Stress binary,Rate of Active population,Visible Minority Rate,Visible Minority Binary,Low-income Rate,Low-income Binary,Ethnic Concentration,Ethnic Concentration quintiles,Residential Instability,Residential Instability quintiles,Average Income,Rented Rate,Active transportation,Total Population,Overweight,Obese,Material Deprivation,Material Deprivation quintiles
5350086,10.2697,0,4.133819068,0,81.3014,59.9414,5.5464,1.030479828,0,10.1,41.8,1.9759,3.089610441,1,58.9082,15.6261,0,4.3,0,-0.255355009,2,-0.437233887,2,1127635.875,14.59,54.6798,2739,30.5927,18.782,-1.22424618,1
5350089,4.8609,0,4.107387256,0,77.5062,74.7691,9.3778,1.045936931,0,5.2,49.2,15.9141,3.046820627,1,56.3597,29.8001,1,19.1,0,0.423276643,3,2.668693385,5,472364.7763,47.7154,52.2784,5802,37.5977,15.1524,-1.205210138,1
5350067,7.9082,0,4.199643828,0,69.6682,75.6138,12.053,1.011811813,0,8.5,48,1.3249,3.076167948,1,59.1054,13.6129,0,17.1,0,-0.558009339,1,0.499012122,4,260842.0828,29.5042,58.6573,1741,33.8669,19.5757,-1.199987172,1
5350218,11.4284,1,4.15286023,0,68.6883,62.3063,5.7271,1.019165457,0,6.1,45.3,2.2214,3.091168859,1,57.2171,11.8237,0,8.9,0,-0.355558614,2,-0.533717643,5,306101.2406,9.0994,55.5681,2791,35.2953,18.0436,-1.187455237,1
5350128.05,6.3964,0,4.181352971,0,72.8856,73.547,12.8559,1.028134887,0,6.2,44.1,14.8468,3.174986013,1,58.4625,19.195,0,11.2,0,0.177322824,3,1.692972062,5,229143.1855,42.0233,56.8519,1615,34.47,17.0453,-1.18553124,1
5350265,7.8127,0,4.131956443,0,80.3103,52.0857,4.2482,1.028566263,0,10.6,45.7,7.6825,2.846857366,0,55.6198,27.5331,1,5.9,0,0.074911107,3,0.068634435,2,724957.3891,14.0892,52.3308,5586,30.9466,15.8118,-1.183393305,1
5350226,12.8973,1,4.166096601,0,66.2307,63.2711,5.6441,1.015852879,0,10,45.1,2.0833,3.038114269,1,55.8989,13.7868,0,5.4,0,-0.61031422,1,-0.754378587,5,332587.1499,13.0364,52.9241,3264,37.3635,18.4928,-1.177395599,1
5350012.01,2.3351,0,4.026049218,0,70.8194,77.6812,8.208,1.09096338,0,7.4,31.5,10.7012,3.214416592,1,60.6661,55.8035,1,10.1,0,1.953967052,5,2.853002747,5,112876.53,68.0343,57.9253,13983,37.5177,15.5788,-1.174293129,1
5350130,10.9328,1,4.118166012,0,76.0902,55.9046,6.0768,1.032649373,0,5.8,43,4.3733,3.08818407,1,59.13,17.7905,0,5.8,0,0.162942445,3,0.073338771,3,851284.3687,24.5448,56.0139,3856,31.5745,19.6705,-1.169461124,1
5350010.02,4.1088,0,4.027736663,0,65.2794,72.017,9.0208,1.073721215,0,5.2,37.2,5.5974,3.178668493,1,58.8709,31.5789,1,7.2,0,0.177834376,3,2.166189367,5,168753.8837,46.9593,59.6386,8702,38.6954,17.4922,-1.16725281,1
5350020,7.8633,0,4.188188239,0,70.3297,65.377,5.8207,1.012514222,0,2.2,47.2,2.813,2.964531418,1,55.3584,23.0983,0,9,0,-0.182562728,2,0.192180708,4,289303.6559,15.2174,53.0402,2524,34.7998,15.5061,-1.162586149,1
5350266,13.6465,1,4.11067485,0,74.4612,51.5935,4.4637,1.02158534,0,7.5,47.4,7.9738,2.906173151,1,54.2313,35.7415,1,6.3,0,0.249832435,3,-0.443473925,3,1100430.884,6.0833,48.9053,3668,33.6889,17.0856,-1.11824341,1
5350125,10.6804,0,4.143900936,0,80.6625,60.1247,5.6844,1.022698222,0,4.6,42.4,1.6849,3.109647403,1,60.5683,12.0131,0,8.6,0,-0.26561575,2,-0.573401116,2,744871.0267,16.242,57.7222,4570,32.632,19.3481,-1.110546134,1
5350119,10.0895,0,4.082337178,0,72.6598,60.9813,9.7095,1.039907064,0,8.5,45.8,6.1409,2.944403064,1,53.7305,20.9929,0,8.5,0,-0.120207359,2,1.532744142,5,493381.3432,60.241,53.4733,5197,34.4307,17.9008,-1.10917231,1
5350128.02,4.6058,0,4.056119426,0,69.7842,73.6379,8.6053,1.068987272,0,6.7,39.3,11.6958,3.150295795,1,58.8292,32.7701,1,12.9,0,1.344173544,5,2.489674764,5,134760.6706,62.517,56.5993,10949,38.9058,16.7371,-1.106889313,1
5350229,8.7618,0,4.020946642,0,77.4324,47.4547,4.1116,1.048012045,0,8.7,46.8,6.4718,3.228699355,1,56.1625,6.2977,0,5.6,0,-0.411104606,2,-0.73871283,4,539549.8045,8.5062,55.4585,1572,27.7647,16.8735,-1.099991595,1
5350232,14.8807,1,4.116958894,0,64.9954,55.1666,4.1698,1.027391541,0,7.7,48.6,6.6008,2.958631027,1,54.2141,18.1634,0,16.1,0,-0.237256,2,-0.784066799,3,405343.8785,7.3382,47.8617,4454,35.3272,17.4581,-1.093558475,1
5350122,10.384,0,4.079453502,0,71.8086,62.8405,9.525,1.039070223,0,5,45.4,5.2865,2.945799587,1,51.9709,20.5374,0,15.1,0,-0.110226703,2,1.726510365,5,217991.3947,60.8242,52.5005,6773,36.4796,19.6883,-1.092968807,1
5350090,8.6403,0,4.078075794,0,76.3402,67.5276,11.7999,1.046282794,0,6.8,47.3,3.314,3.018352479,1,53.0149,21.4368,0,6.5,0,-0.159534274,2,1.885553108,5,214855.6337,52.2755,51.2594,4357,35.3683,17.3676,-1.074789367,1
5350228,9.5742,0,4.068342069,0,69.7949,54.0522,7.026,1.045932988,0,8.9,50.1,4.0058,3.013487507,1,52.6391,16.1095,0,5.9,0,-0.427066084,2,0.434534164,2,278676.1567,29.0536,49.3656,3470,31.4491,17.5627,-1.072366849,1
5350050.01,9.4987,0,4.066272661,0,67.1075,61.6936,7.9355,1.04081142,0,7.6,40.1,7.7134,2.980464787,1,51.3783,23.677,0,15.3,0,-0.014508262,3,1.006050879,5,163530.8378,33.1622,50.7211,10204,38.4083,17.9086,-1.054861933,1
5350214,4.9557,0,4.010795593,0,49.9131,65.0976,7.1226,1.066690952,0,6.4,39.8,9.7924,3.117495742,1,54.0831,27.0007,1,15.8,0,0.283858245,3,1.081103001,5,135954.4166,20.096,57.8181,6148,37.8926,15.8122,-1.054192162,1
5350264,13.998,1,4.125637088,0,67.0229,51.5874,3.9874,1.02202571,0,5.2,48.8,2.6786,2.799841709,0,49.6388,41.8155,1,35.9,1,0.252825361,3,-0.402110739,5,857607.7392,7.4157,46.0257,1344,33.1649,14.637,-1.050684285,1
5350224,11.4881,1,4.111941667,0,71.549,52.0592,2.764,1.027723174,0,3.7,47,2.2197,3.106188598,1,56.423,21.7416,0,22.5,0,-0.553814664,1,-0.862786831,2,353607.1393,4.9404,51.841,1757,30.9344,18.2721,-1.031928176,1
5350216,12.3093,1,4.112982889,0,62.9442,58.356,6.0146,1.019534432,0,5.7,45.3,3.0413,3.029797026,1,53.8128,14.529,0,9.3,0,-0.45437968,2,-0.409223746,4,211696.3901,15.9171,49.679,5871,35.5634,17.721,-1.028394187,1
5350223.02,12.5066,1,4.065957734,0,54.5739,53.1392,5.1998,1.028799505,0,8.3,45.9,3.5745,3.022948301,1,52.6992,16.7605,0,10.6,0,-0.105540984,2,-0.619398216,1,206352.5245,15.2913,48.6632,2309,33.2395,16.83,-1.026682197,1
5350126,8.7336,0,4.103880608,0,72.0626,66.6797,9.0409,1.035272589,0,7.4,41.6,2.152,3.205201016,1,58.2029,18.7042,0,11.1,0,-0.249256472,2,-0.132187827,3,206577.121,28.3972,59.1674,4368,30.0902,19.6395,-1.016962832,1
5350141.02,6.7994,0,4.108415781,0,74.4939,51.8319,3.6726,1.046452825,0,8.5,40.5,2.2809,3.149804165,1,60.5429,17.529,0,10.8,0,-0.061034853,2,-0.701086988,1,298336.6773,12.2936,60.3429,4735,28.4355,17.3654,-1.015269809,1
5350064,6.0616,0,3.930312884,0,62.3135,69.4453,10.7034,1.118172972,0,8.6,37.4,10.6932,3.13607605,1,57.6928,39.5604,1,14.2,0,1.049590921,4,2.708833857,5,101312.5208,61.2773,57.3439,5278,40.2036,18.2444,-1.014798039,1
5350196.02,11.1655,1,4.07594678,0,73.2494,57.1141,5.4902,1.038418988,0,7.2,45.5,3.721,3.107764302,1,58.2448,13.9093,0,9.6,0,-0.436171159,2,0.026520966,3,361806.5574,30.7195,58.4202,6262,31.2767,20.9256,-1.006565379,1
5350139.01,8.9657,0,4.083966517,0,74.6535,54.0862,5.6859,1.054770528,0,10.4,42.4,6.2131,3.069972839,1,55.1876,23.0332,0,7.9,0,0.433266852,3,0.834408352,4,290950.3867,44.2163,55.4005,4576,32.7576,18.8852,-1.005632258,1
5350118,8.3056,0,4.136119081,0,71.8779,63.9462,11.4467,1.033258965,0,6.9,49.9,3.1858,3.0367895,1,57.3895,14.8683,0,5.7,0,-0.150772563,2,1.371100325,5,269890.4431,68.5714,53.703,4365,36.1238,15.5811,-1.005151114,1
5350140,10.3719,0,4.106178165,0,77.9595,54.0971,4.6992,1.030662173,0,10.3,43.4,2.4035,3.144907424,1,61.2158,13.6328,0,9.5,0,-0.263173392,2,-0.672396627,2,689402.67,17.6755,57.8885,2538,30.6993,18.7131,-1.004642536,1
5350195.02,7.686,0,4.076307279,0,70.7504,63.3476,6.1138,1.036218866,0,7.5,42,2.4341,3.140983304,1,61.5875,18.932,0,11.4,0,-0.00064986,3,-0.093128877,3,228350.3932,13.9066,62.2462,2472,28.1416,19.5563,-1.002144273,1
5350023,11.1491,1,4.111079648,0,69.7674,64.3044,7.3622,1.031147156,0,8.8,44.5,4.3154,3.127037768,1,58.2438,11.5406,0,9.2,0,-0.546593255,1,0.160001141,3,257535.8675,23.8796,57.2306,3622,32.6907,20.3331,-0.995382377,1
5350128.06,4.0337,0,4.001433362,0,66.1912,73.0114,8.0986,1.068884537,0,9.4,35.9,9.1112,3.191002269,1,58.0953,50.5443,1,18,0,1.859219307,5,2.908662813,5,89210.1428,87.7246,56.36,4501,38.6147,17.1038,-0.992640761,1
5350063.03,5.0899,0,3.949580744,0,72.0105,72.4973,9.8885,1.088566372,0,10.3,34.5,6.6753,3.193481687,1,58.3085,46.8331,1,11.4,0,1.067780489,4,2.998544752,5,94898.133,73.3278,55.126,5447,38.6215,17.7157,-0.988785247,1
5350091.01,8.8462,0,3.997543859,0,78.0385,65.9912,10.4494,1.06739276,0,10.6,38.8,7.3895,3.048621428,1,53.7658,27.5201,1,10.4,0,0.263789248,3,2.496915734,5,235466.6201,64.1525,52.1424,6835,36.7595,19.2621,-0.980856477,1
5350150,11.8353,1,4.148463642,0,74.374,63.9483,7.5108,1.027823465,0,6.9,41.3,2.4805,3.13048766,1,57.2944,16.1231,0,8.8,0,-0.532731536,1,-0.414146142,2,272664.1901,21.3538,57.6232,4354,34.9079,18.4906,-0.9774607,1
5350141.01,8.8275,0,4.099403238,0,73.0087,57.8138,4.9547,1.031503852,0,4.9,41.4,3.8293,3.153734813,1,58.9549,28.0874,1,6.7,0,-0.154423143,2,-0.421956014,2,249239.9362,20.9316,60.3496,4575,30.3063,18.4958,-0.970763382,1
5350103,11.5441,1,4.105520275,0,70.2221,64.9811,7.9344,1.023024758,0,7.2,44.1,4.4647,3.072496091,1,52.6006,16.0687,0,9.3,0,-0.417855803,2,0.546717114,4,188818.2793,23.9721,53.4019,6634,37.5174,18.1282,-0.967125712,1
5350131,10.7649,1,4.063257871,0,73.9515,53.274,6.7548,1.059723653,0,5.4,43.7,4.1299,3.05689119,1,55.7931,18.2316,0,3.4,0,-0.140815953,2,0.68267957,4,476269.1017,41.3987,55.0312,5666,33.6946,20.0699,-0.95933293,1
5350275,9.9635,0,4.053153827,0,71.0683,50.9214,4.6636,1.047434032,0,5,47.1,5.8963,2.956539999,1,54.4321,18.6446,0,8.6,0,0.130955523,3,0.292108127,4,341136.7008,34.4044,54.5632,6404,32.7421,18.4239,-0.9538992,1
5350196.01,10.8945,1,4.063717277,0,68.2883,49.0375,5.1419,1.048667225,0,8.8,45.4,3.5731,3.071187392,1,57.534,22.344,0,15.1,0,-0.124380479,2,-0.082265914,3,277289.7828,26.9042,56.426,2099,29.8841,20.0008,-0.9525751,1
5350127,8.9405,0,4.074687684,0,68.3221,61.8592,7.8782,1.04666356,0,6.3,40.9,5.0058,3.180548557,1,57.6718,28.324,1,14.4,0,-0.020808704,3,0.060786637,3,210512.4033,32.6192,59.4197,6062,29.9993,19.8955,-0.949732613,1
5350001,6.5107,0,4.056808503,0,57.9439,72.4477,9.8821,1.038793763,0,7.5,41,1.964,3.130114582,1,57.1032,35.0245,1,9.1,0,-0.229801783,2,0.082319045,3,140470.9957,33.0677,58.1477,611,31.985,21.0068,-0.940159206,1
5350102.05,7.9473,0,4.05885162,0,57.9606,66.5418,8.6315,1.072448911,0,7.2,35.9,1.4925,3.125130534,1,60.7351,30.884,1,10.1,0,-0.31253957,2,0.397073806,4,150641.8467,38.4164,62.2716,871,33.053,20.4635,-0.93696534,1
5350142,8.4775,0,4.078806473,0,75.1009,56.0646,5.9473,1.039856567,0,6.4,41.7,3.0463,3.1221792,1,60.5588,23.6343,0,11.3,0,0.116461107,3,-0.06912348,3,293973.138,33.9347,60.2725,6114,29.3016,19.1688,-0.924415758,1
5350138,12.6283,1,4.068059733,0,76.7221,51.9042,7.0291,1.060931504,0,9.6,44.3,3.753,3.078039935,1,57.1543,18.292,0,5.5,0,0.057968194,3,-0.031136164,3,543399.6182,32.0988,54.2222,3384,31.964,20.4483,-0.921059984,1
5350134,6.7382,0,4.08747312,0,79.0814,60.2128,5.8047,1.032683628,0,7,38.6,3.4664,3.170833241,1,60.9678,18.8634,0,29.5,0,-0.199488434,2,-0.381569801,2,294375.8664,22.8621,60.5659,3308,29.9327,17.9117,-0.916477283,1
5350104,9.7527,0,4.125256359,0,71.5115,64.3663,7.1584,1.027717607,0,4.5,40.3,1.7976,3.192146243,1,58.561,17.1722,0,15,0,-0.364743605,2,-0.310045132,3,208137.2808,25.8768,59.4474,5736,33.3596,20.679,-0.913624911,1
5350124,9.6635,0,4.064565662,0,70.6722,64.8497,9.6059,1.046754424,0,8.1,48.4,6.1845,2.938092707,1,51.2259,20.8667,0,7,0,-0.098868348,2,2.101168174,5,183295.641,67.6804,49.8158,6000,38.7806,18.8434,-0.904545962,1
5350063.05,4.8896,0,3.979255111,0,73.7143,73.8933,8.9242,1.09728959,0,8.6,32.2,12.8863,3.210540939,1,59.0033,46.9491,1,15.8,0,1.63919522,5,3.398447616,5,97656.9313,73.5928,57.0869,5736,37.6309,17.1744,-0.90275497,1
5350166,9.7366,0,3.988509459,0,70.2857,51.9028,6.9365,1.074047461,0,7.9,39.6,6.9659,3.080478835,1,57.1558,23.1043,0,10,0,-0.113734719,2,0.333456352,4,256114.0223,44.8521,57.2478,4774,30.7661,18.832,-0.900159101,1
5350102.04,7.1744,0,4.159976951,0,63.8095,75.4304,11.9937,1.027176236,0,12.7,37.6,1.632,3.165411734,1,62.0204,29.0801,1,9.4,0,-0.062823082,2,0.841526963,4,180346.1574,55.477,60.0394,674,31.8804,17.5966,-0.882385165,1
5350276.02,7.0494,0,4.033813995,0,70.2375,46.6838,4.974,1.066572753,0,5.4,40.6,6.3573,3.066176746,1,57.9429,27.2192,1,15.3,0,0.139893198,3,-0.302687902,4,344571.0279,20.7547,56.9941,7638,28.2873,17.3152,-0.872504835,1
